# accountAddr,discordID,scholarShare,payoutAddress
0x7c6469a4faf6acb854586f65c01f1f492a7c1267,823749904660168715,0.65,0x7c6469a4faf6acb854586f65c01f1f492a7c1267
0x61f445ed01e929cf7ef5a2427e6e0fffea8a03c2,792109114666778655,0.65,0x61f445ed01e929cf7ef5a2427e6e0fffea8a03c2
0x55caeef4de3810bcf4b71f418d22cdc72ca7e6e5,806994214146539561,0.65,0x55caeef4de3810bcf4b71f418d22cdc72ca7e6e5
0xa9beb244962eb0c27febc5ca7eb54905b92352d7,824323870629822515,0.65,0xa9beb244962eb0c27febc5ca7eb54905b92352d7
0xfc2f046b067de161d3556a248863a627c1f5a88b,822992608015024159,0.65,0xfc2f046b067de161d3556a248863a627c1f5a88b
0x9777bcd57d0ea37037a6ebb881f6e7e349a00d92,807566857740877834,0.65,0x9777bcd57d0ea37037a6ebb881f6e7e349a00d92
0x77d21fbe9767fe3c3a1cfb8eb5bee2f5fa162c7e,780959089462607892,0.7,0x77d21fbe9767fe3c3a1cfb8eb5bee2f5fa162c7e
0x0500259da2102b2d63a5040f7b5d685939fbdab2,466131675487928320,0.65,0x0500259da2102b2d63a5040f7b5d685939fbdab2
0x69832bbe54442fe43dfa96feb746c5ec8d67ea9a,178773052497199104,0.65,0x69832bbe54442fe43dfa96feb746c5ec8d67ea9a
0x46557f1e284c85621c483983af460d69a8e647b9,640524124761882654,0.65,0x46557f1e284c85621c483983af460d69a8e647b9
0x96bde9b09eb2a41774934fe04f75b3987d9986b2,846029411706732544,0.65,0x96bde9b09eb2a41774934fe04f75b3987d9986b2
0x0425bccbd2c34b18558a6df51af4c0e9ad03c516,758817995299487795,0.75,0x0425bccbd2c34b18558a6df51af4c0e9ad03c516
0x5f6f875463ff986491bb5d9cdcd7876159037757,480190080447938566,0.65,0x5f6f875463ff986491bb5d9cdcd7876159037757
0x1bca798da4a660fa5320046dc78bcbb9800593d1,820520000708018186,0.65,0x1bca798da4a660fa5320046dc78bcbb9800593d1
